,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1,0,0.3541666667,0.4166666667,0.4583333333,0.45,0.4583333333,0.4583333333,0.7916666667,0.4583333333,0.25,0.5357142857,0.35,0.55,0.55,0.55,0.4375,0.55,0.7142857143,0.7142857143,0.7142857143,0.55,0.625,0.7142857143,0.4375,0.4375,0.5,0.75,0.4285714286,0.6785714286,0.5833333333,0.625,0.6041666667,0.625,0.4375,0.5178571429,0.5625,0.6607142857,0.8035714286,0.8035714286,0.40625,0.5892857143,0.5,0.75,0.625,0.25,0.4583333333,0.6607142857,0.6607142857,0.5892857143,0.5892857143,0.6428571429,0.7321428571,0.7321428571,0.6428571429,0.6607142857,0.6607142857,0.525,0.5892857143,0.5892857143,0.5892857143,0.5892857143,0.6666666667,0.5208333333,0.6607142857,0.6607142857,0.6607142857,0.6607142857,0.6607142857,0.5357142857,0.6428571429,0.5,0.5,0.625,0.5833333333,0.5,0.55,0.625,0.55,0.625,0.55,0.625,0.625,0.5357142857,0.55,0.5357142857,0.5357142857
2,0.3541666667,0,0.75,0.2708333333,0.425,0.2708333333,0.2708333333,0.4375,0.2708333333,0.425,0.4464285714,0.15625,0.2708333333,0.3541666667,0.3541666667,0.125,0.2708333333,0.6607142857,0.6607142857,0.6607142857,0.65625,0.4791666667,0.5892857143,0.125,0.125,0.175,0.4375,0.6666666667,0.5178571429,0.475,0.2708333333,0.4166666667,0.275,0.125,0.3571428571,0.225,0.3571428571,0.5714285714,0.5714285714,0.1,0.5,0.6,0.75,0.325,0.2083333333,0.2708333333,0.5714285714,0.5,0.6666666667,0.6666666667,0.7857142857,0.8571428571,0.8571428571,0.7857142857,0.5714285714,0.5,0.625,0.7142857143,0.6666666667,0.5714285714,0.6666666667,0.6,0.6666666667,0.7857142857,0.5,0.5,0.5,0.5,0.375,0.75,0.4166666667,0.25,0.625,0.25,0.4166666667,0.2708333333,0.2708333333,0.325,0.2708333333,0.2708333333,0.2708333333,0.375,0.375,0.2708333333,0.375,0.375
3,0.4166666667,0.75,0,0.6590909091,0.625,0.6590909091,0.6590909091,0.6590909091,0.65625,0.34375,0.5833333333,0.4642857143,0.725,0.725,0.8409090909,0.7083333333,0.725,0.5909090909,0.5416666667,0.5909090909,0.40625,0.725,0.5909090909,0.7083333333,0.7083333333,0.75,0.65625,0.5,0.5833333333,0.6388888889,0.5625,0.4659090909,0.8571428571,0.625,0.6625,0.875,0.5568181818,0.6770833333,0.6770833333,0.6875,0.6354166667,0.6818181818,0.6818181818,0.6136363636,0.4166666667,0.5625,0.59375,0.5568181818,0.625,0.6625,0.6818181818,0.6931818182,0.7386363636,0.6363636364,0.6477272727,0.6477272727,0.5178571429,0.6805555556,0.6625,0.6931818182,0.625,0.65,0.6625,0.6625,0.5096153846,0.6125,0.6477272727,0.6125,0.6136363636,0.6111111111,0.6,0.6666666667,0.3571428571,0.7272727273,0.6,0.65625,0.6458333333,0.575,0.6458333333,0.78125,0.6041666667,0.7045454545,0.625,0.75,0.6590909091,0.6041666667
4,0.4583333333,0.2708333333,0.6590909091,0,0.45,0.1136363636,0.08333333333,0.45,0.125,0.4375,0.1666666667,0.1428571429,0.2,0.2777777778,0,0.1666666667,0.25,0,0,0.4090909091,0.5,0.3636363636,0.4375,0.1666666667,0.1666666667,0.2083333333,0.3888888889,0.4722222222,0.35,0.45,0.3181818182,0.375,0.3928571429,0.1666666667,0.2625,0.3333333333,0.375,0,0.59375,0.1875,0.4895833333,0.75,0.8409090909,0.3181818182,0,0.2272727273,0.59375,0.4204545455,0.7125,0.7125,0.75,0.7840909091,0.7840909091,0.75,0.59375,0.4659090909,0.6607142857,0.5625,0.7386363636,0.6770833333,0.7125,0.75,0.7386363636,0.7625,0.4886363636,0.4204545455,0.46875,0.4204545455,0.1363636364,0.75,0.275,0.275,0.625,0.3409090909,0.275,0.125,0.2916666667,0.2222222222,0.2727272727,0.125,0.35,0.2,0.025,0.03571428571,0.1,0.1818181818
5,0.45,0.425,0.625,0.45,0,0.3333333333,0.35,0.6,0.5,0.4444444444,0.4375,0.5,0.5,0.5,0.6111111111,0.25,0.3888888889,0.7777777778,0.7,0.7777777778,0.5,0.5277777778,0.6,0.25,0.25,0.3125,0.5625,0.4722222222,0.6111111111,0.6875,0.3,0.5625,0.55,0.25,0.453125,0.25,0.5625,0.5568181818,0.5568181818,0.425,0.6022727273,0.775,0.625,0.35,0,0.4,0.6022727273,0.6022727273,0.7361111111,0.7625,0.7954545455,0.8295454545,0.7840909091,0.8409090909,0.6625,0.7916666667,0.8541666667,0.5138888889,0.7361111111,0.7125,0.7361111111,0.5277777778,0.7625,0.890625,0.7125,0.6625,0.6625,0.6625,0.4,0.78125,0.5277777778,0.34375,0.7083333333,0.425,0.5277777778,0.3333333333,0.2727272727,0.2222222222,0.3,0.3333333333,0.3888888889,0.4444444444,0.375,0.4,0.4444444444,0.4444444444
6,0.4583333333,0.2708333333,0.6590909091,0.1136363636,0.3333333333,0,0.02272727273,0.45,0,0.3571428571,0.05555555556,0,0.3,0.1666666667,0.35,0.1666666667,0.1111111111,0,0,0.4090909091,0.375,0.25,0.3409090909,0.1666666667,0.1666666667,0.2083333333,0.25,0.5833333333,0.2222222222,0,0.25,0.3125,0,0.1666666667,0.1625,0.3333333333,0.3125,0.5113636364,0.5113636364,0.1875,0.375,0.675,0.775,0.25,0,0.15,0.5113636364,0.3125,0.625,0.625,0.675,0.7625,0.7125,0.725,0.5113636364,0.4659090909,0.6607142857,0.4583333333,0,0.6022727273,0.625,0.675,0.6625,0.7625,0.4659090909,0.3125,0.375,0.3125,0.1,0.6388888889,0.1388888889,0.1388888889,0.625,0.225,0.1388888889,0.125,0.2272727273,0.2222222222,0.2727272727,0.125,0.35,0.2,0.025,0.03571428571,0.1,0.1818181818
7,0.4583333333,0.2708333333,0.6590909091,0.08333333333,0.35,0.02272727273,0,0.45,0.125,0.375,0.05555555556,0.1428571429,0.3,0.1666666667,0.35,0.1666666667,0.15,0.4090909091,0.4318181818,0.4090909091,0.3888888889,0.2727272727,0.3541666667,0.1666666667,0.1666666667,0.2083333333,0.2777777778,0.5833333333,0.25,0.35,0.2727272727,0.2840909091,0.3928571429,0.1666666667,0.1625,0.3333333333,0.2840909091,0.5104166667,0.5104166667,0.1875,0.40625,0.6590909091,0.75,0.2727272727,0,0.1818181818,0.5104166667,0.3295454545,0.6125,0.6125,0.6590909091,0.7386363636,0.6931818182,0.7045454545,0.5104166667,0.4659090909,0.6607142857,0.4625,0.6477272727,0.59375,0.6125,0.6590909091,0.6477272727,0.7625,0.4886363636,0.3295454545,0.3854166667,0.3295454545,0.04545454545,0.6388888889,0.175,0.175,0.625,0.25,0.175,0.125,0.25,0.2222222222,0.2727272727,0.125,0.35,0.2,0.025,0.03571428571,0.1,0.1818181818
8,0.7916666667,0.4375,0.6590909091,0.45,0.6,0.45,0.45,0,0.3571428571,0.6875,0.4444444444,0.5,0.3888888889,0.5,0.6,0.3,0.3888888889,0.35,0.4090909091,0.35,0.3571428571,0.5277777778,0.3,0.3,0.3,0.35,0.3125,0.725,0.3888888889,0.40625,0.35,0.3625,0.5416666667,0.3,0.4583333333,0.4,0.3625,0.4659090909,0.4204545455,0.4375,0.4659090909,0.625,0.625,0.5,0.5,0.55,0.6022727273,0.4659090909,0.6805555556,0.7125,0.7045454545,0.6931818182,0.6931818182,0.6136363636,0.5625,0.4125,0.5892857143,0.7916666667,0.6805555556,0.6125,0.6805555556,0.4722222222,0.7125,0.625,0.5568181818,0.4125,0.4125,0.4125,0.35,0.6388888889,0.5277777778,0.34375,0.4642857143,0.425,0.5277777778,0.2142857143,0.3636363636,0.35,0.3181818182,0.3571428571,0.4,0.35,0.3888888889,0.25,0.35,0.45
9,0.4583333333,0.2708333333,0.65625,0.125,0.5,0,0.125,0.3571428571,0,0.4,0.07142857143,0.08333333333,0,0.08333333333,0.07142857143,0,0,0.3333333333,0.4166666667,0.3125,0.2,0.1875,0.21875,0,0,0.04166666667,0.1666666667,0.5416666667,0.1428571429,0.375,0.125,0.1964285714,0.2857142857,0.1666666667,0.046875,0.2083333333,0.296875,0.484375,0.484375,0.025,0.515625,0.5714285714,0.7142857143,0.1428571429,0,0,0.390625,0.1607142857,0.6041666667,0.6041666667,0.6785714286,0.7321428571,0.7321428571,0.6785714286,0.390625,0.140625,0.40625,0.5892857143,0.515625,0.484375,0.6041666667,0.7142857143,0.6607142857,0.609375,0.390625,0.1607142857,0.171875,0.1607142857,0.125,0.625,0.07142857143,0.07142857143,0.6875,0.1875,0.07142857143,0,0.125,0.1666666667,0.125,0,0.125,0.03571428571,0.0625,0.07142857143,0.03125,0.03125
10,0.25,0.425,0.34375,0.4375,0.4444444444,0.3571428571,0.375,0.6875,0.4,0,0.4375,0.3333333333,0.5,0.5,0.6428571429,0.5,0.5,0.65625,0.5833333333,0.65625,0.3571428571,0.4375,0.5833333333,0.5,0.5,0.5625,0.7142857143,0.53125,0.6666666667,0.5714285714,0.4444444444,0.6125,0.6875,0.5,0.515625,0.5,0.6125,0.7125,0.7125,0.53125,0.6125,0.65625,0.725,0.375,0,0.5,0.6125,0.6125,0.640625,0.6805555556,0.725,0.7125,0.7125,0.725,0.6805555556,0.765625,0.6875,0.4583333333,0.640625,0.6805555556,0.640625,0.6071428571,0.640625,0.7321428571,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.45,0.6785714286,0.4722222222,0.4642857143,0.65,0.5833333333,0.4722222222,0.4,0.3888888889,0.3571428571,0.4375,0.5,0.5625,0.625,0.4285714286,0.5,0.5,0.5
11,0.5357142857,0.4464285714,0.5833333333,0.1666666667,0.4375,0.05555555556,0.05555555556,0.4444444444,0.07142857143,0.4375,0,0.1428571429,0.1875,0,0.1111111111,0.1,0.0625,0.25,0.25,0.25,0.1428571429,0.1,0.1136363636,0.1,0.1,0.15,0.3125,0.4722222222,0.25,0.3125,0.2222222222,0.1805555556,0.25,0.1,0.1125,0.3,0.2625,0.3295454545,0.3295454545,0.125,0.3625,0.59375,0.525,0.1875,0,0.1111111111,0.4125,0.2625,0.5694444444,0.5694444444,0.5227272727,0.6477272727,0.6022727273,0.6136363636,0.4125,0.3625,0.5178571429,0.375,0.5138888889,0.4204545455,0.5138888889,0.59375,0.5625,0.5625,0.4625,0.2625,0.2625,0.2625,0.05,0.5277777778,0.02777777778,0.09375,0.55,0.1944444444,0.02777777778,0.07142857143,0.2222222222,0.3125,0.2777777778,0.08333333333,0.3333333333,0.2777777778,0.1111111111,0.08333333333,0.1111111111,0.2
12,0.35,0.15625,0.4642857143,0.1428571429,0.5,0,0.1428571429,0.5,0.08333333333,0.3333333333,0.1428571429,0,0.1666666667,0.1666666667,0.3333333333,0,0.1666666667,0.15625,0.15625,0.1785714286,0.3333333333,0.2857142857,0.3214285714,0,0,0.0625,0.5,0.4642857143,0.4285714286,0.5,0.2857142857,0.3035714286,0.25,0,0.2321428571,0.25,0.3035714286,0.4464285714,0.4464285714,0.03125,0.4464285714,0.6785714286,0.8214285714,0.2857142857,0,0.1428571429,0.5178571429,0.4464285714,0.6607142857,0.6607142857,0.6785714286,0.7321428571,0.7321428571,0.6785714286,0.5178571429,0.4464285714,0.6041666667,0.4464285714,0.640625,0.5892857143,0.6607142857,0.6785714286,0.6607142857,0.6041666667,0.4464285714,0.4464285714,0.4464285714,0.4464285714,0.1428571429,0.6785714286,0.1785714286,0.2083333333,0.55,0.3214285714,0.1785714286,0,0.2857142857,0.3333333333,0.2857142857,0,0.3571428571,0.1666666667,0,0,0,0.1428571429
13,0.55,0.2708333333,0.725,0.2,0.5,0.3,0.3,0.3888888889,0,0.5,0.1875,0.1666666667,0,0.15,0.2272727273,0,0.1111111111,0.425,0.5,0.4318181818,0.4285714286,0.25,0.35,0,0,0.04166666667,0.375,0.53125,0.375,0.5625,0.1111111111,0.375,0.2857142857,0.1666666667,0.2083333333,0.2083333333,0.375,0.4431818182,0.4875,0.1875,0.6125,0.75,0.7777777778,0.2222222222,0,0.2222222222,0.6125,0.4583333333,0.7916666667,0.7916666667,0.825,0.9027777778,0.8125,0.8611111111,0.6125,0.4125,0.7708333333,0.640625,0.7375,0.6704545455,0.7916666667,0.65,0.8472222222,0.7638888889,0.6125,0.4583333333,0.4375,0.4583333333,0.2222222222,0.84375,0.1875,0.1666666667,0.625,0.1666666667,0.1875,0,0.2,0.25,0.2,0.125,0.1666666667,0.225,0.1666666667,0.07142857143,0.1388888889,0.225
14,0.55,0.3541666667,0.725,0.2777777778,0.5,0.1666666667,0.1666666667,0.5,0.08333333333,0.5,0,0.1666666667,0.15,0,0.07692307692,0.1,0.05555555556,0.35,0.4166666667,0.3636363636,0.3333333333,0.08333333333,0.2,0.1,0.1,0.15,0.3125,0.6944444444,0.3125,0.3571428571,0.2222222222,0.4027777778,0.375,0.1,0.140625,0.3,0.4027777778,0.3173076923,0.34375,0.2708333333,0.5625,0.725,0.625,0.2777777778,0,0.2222222222,0.6125,0.4625,0.6805555556,0.6125,0.6041666667,0.7840909091,0.6770833333,0.75,0.5694444444,0.5138888889,0.7708333333,0.4583333333,0.6805555556,0.5568181818,0.6805555556,0.5833333333,0.6625,0.7361111111,0.6625,0.4027777778,0.4027777778,0.4027777778,0.1666666667,0.71875,0.15625,0.09375,0.46875,0.1944444444,0.15625,0.07142857143,0.3,0.3888888889,0.35,0.2142857143,0.3333333333,0.35,0.1875,0.08333333333,0.2777777778,0.2777777778
15,0.55,0.3541666667,0.8409090909,0,0.6111111111,0.35,0.35,0.6,0.07142857143,0.6428571429,0.1111111111,0.3333333333,0.2272727273,0.07692307692,0,0.08333333333,0.15,0.3958333333,0.5,0.4375,0.4285714286,0.175,0.2727272727,0.08333333333,0.08333333333,0.125,0.25,0.8055555556,0.25,0.3125,0.3,0.4875,0.3571428571,0.25,0.1527777778,0.2916666667,0.4875,0.425,0.4134615385,0.2708333333,0.6931818182,0.6363636364,0.5454545455,0.35,0,0.3,0.5568181818,0.4125,0.625,0.5625,0.5625,0.7386363636,0.6354166667,0.7045454545,0.5125,0.4125,0.6875,0.5694444444,0.5875,0.4895833333,0.625,0.65,0.6125,0.6375,0.6477272727,0.3472222222,0.3375,0.3472222222,0.35,0.65625,0.2777777778,0.2222222222,0.59375,0.3,0.2777777778,0.1875,0.3636363636,0.5,0.4090909091,0.1875,0.35,0.4318181818,0.3333333333,0.1428571429,0.375,0.375
16,0.4375,0.125,0.7083333333,0.1666666667,0.25,0.1666666667,0.1666666667,0.3,0,0.5,0.1,0,0,0.1,0.08333333333,0,0,0.375,0.5,0.375,0.25,0.2083333333,0.25,0,0,0.04166666667,0.2,0.5625,0.2,0.5,0,0.2291666667,0.1666666667,0.1666666667,0.0625,0.2083333333,0.2291666667,0.3125,0.3125,0.025,0.5208333333,0.6,0.6666666667,0,0,0,0.3541666667,0.225,0.65625,0.65625,0.75,0.825,0.825,0.75,0.3541666667,0.1875,0.5416666667,0.625,0.575,0.4791666667,0.65625,0.6,0.725,0.6458333333,0.3541666667,0.225,0.2291666667,0.225,0.1666666667,0.6875,0.1,0.08333333333,0.6875,0.08333333333,0.1,0,0,0,0,0,0,0.04166666667,0.08333333333,0.08333333333,0.04166666667,0.04166666667
17,0.55,0.2708333333,0.725,0.25,0.3888888889,0.1111111111,0.15,0.3888888889,0,0.5,0.0625,0.1666666667,0.1111111111,0.05555555556,0.15,0,0,0.3611111111,0.5,0.3611111111,0.2142857143,0.175,0.2,0,0,0.04166666667,0.2777777778,0.65625,0.2777777778,0.4444444444,0.1818181818,0.2875,0.1666666667,0.1666666667,0.09722222222,0.2083333333,0.3522727273,0.2613636364,0.2613636364,0.025,0.5113636364,0.65,0.65,0.2,0,0.05,0.5113636364,0.3625,0.640625,0.5694444444,0.625,0.8125,0.7625,0.775,0.4625,0.3472222222,0.725,0.5138888889,0.5972222222,0.5375,0.640625,0.5,0.6805555556,0.734375,0.6125,0.2916666667,0.2875,0.2916666667,0.2272727273,0.6785714286,0.2,0.1,0.4583333333,0.1818181818,0.2,0,0.1818181818,0.25,0.2,0,0.25,0.225,0.0625,0.07142857143,0.1388888889,0.1388888889
18,0.7142857143,0.6607142857,0.5909090909,0,0.7777777778,0,0.4090909091,0.35,0.3333333333,0.65625,0.25,0.15625,0.425,0.35,0.3958333333,0.375,0.3611111111,0,0.06666666667,0,0.1666666667,0.3181818182,0.1346153846,0.375,0.375,0.4166666667,0.375,0.65,0.325,0.425,0.425,0.3522727273,0.59375,0.5,0.3977272727,0.5833333333,0.3522727273,0.4732142857,0.3942307692,0.5208333333,0.46875,0.6,0.4791666667,0.425,0.3333333333,0.4090909091,0.53125,0.3522727273,0.5875,0.5875,0.5,0.5729166667,0.5729166667,0.5416666667,0.53125,0.34375,0.421875,0.5340909091,0.53125,0.4903846154,0.5375,0.575,0.5340909091,0.4479166667,0.4270833333,0.3522727273,0.3645833333,0.3522727273,0.3863636364,0.55,0.3,0.4166666667,0.4583333333,0.475,0.3,0.28125,0.4772727273,0.5555555556,0.4772727273,0.40625,0.475,0.5,0.3636363636,0.3214285714,0.3863636364,0.4375
19,0.7142857143,0.6607142857,0.5416666667,0,0.7,0,0.4318181818,0.4090909091,0.4166666667,0.5833333333,0.25,0.15625,0.5,0.4166666667,0.5,0.5,0.5,0.06666666667,0,0.07142857143,0.25,0.3863636364,0.1923076923,0.5,0.5,0.5416666667,0.375,0.6818181818,0.325,0.325,0.4545454545,0.4479166667,0.65625,0.5,0.4431818182,0.6666666667,0.4479166667,0.5390625,0.4732142857,0.5208333333,0.5673076923,0.625,0.4807692308,0.4545454545,0.3333333333,0.5208333333,0.4903846154,0.3229166667,0.5340909091,0.5729166667,0.5,0.6057692308,0.5982142857,0.5769230769,0.53125,0.40625,0.421875,0.5340909091,0.5288461538,0.4910714286,0.4886363636,0.5681818182,0.5340909091,0.4895833333,0.4519230769,0.3522727273,0.40625,0.3522727273,0.3541666667,0.55,0.4090909091,0.4722222222,0.5357142857,0.5681818182,0.4090909091,0.375,0.5,0.5,0.5,0.5,0.5,0.5833333333,0.4318181818,0.4285714286,0.4791666667,0.4791666667
20,0.7142857143,0.6607142857,0.5909090909,0.4090909091,0.7777777778,0.4090909091,0.4090909091,0.35,0.3125,0.65625,0.25,0.1785714286,0.4318181818,0.3636363636,0.4375,0.375,0.3611111111,0,0.07142857143,0,0.1666666667,0.3181818182,0.1346153846,0.375,0.375,0.4166666667,0.375,0.65,0.325,0.4166666667,0.425,0.3522727273,0.6071428571,0.5,0.3977272727,0.5833333333,0.3522727273,0.4375,0.3942307692,0.5208333333,0.46875,0.5454545455,0.4791666667,0.425,0.3333333333,0.4090909091,0.53125,0.3522727273,0.5340909091,0.5340909091,0.4615384615,0.5729166667,0.5673076923,0.5416666667,0.53125,0.34375,0.421875,0.5340909091,0.4895833333,0.4553571429,0.4886363636,0.5227272727,0.5340909091,0.4479166667,0.4270833333,0.3522727273,0.3645833333,0.3522727273,0.3863636364,0.55,0.3,0.4166666667,0.4583333333,0.475,0.3,0.28125,0.4772727273,0.5555555556,0.4772727273,0.40625,0.475,0.5,0.3636363636,0.3214285714,0.3863636364,0.4375
21,0.55,0.65625,0.40625,0.5,0.5,0.375,0.3888888889,0.3571428571,0.2,0.3571428571,0.1428571429,0.3333333333,0.4285714286,0.3333333333,0.4285714286,0.25,0.2142857143,0.1666666667,0.25,0.1666666667,0,0.25,0.075,0.25,0.25,0.3125,0.25,0.53125,0.1875,0.375,0.375,0.1875,0.6,0.5,0.234375,0.5625,0.09722222222,0,0.2375,0.53125,0.3125,0.3333333333,0.4,0.4444444444,0.3333333333,0.3,0.2625,0.2361111111,0.3472222222,0.3472222222,0.3055555556,0.4583333333,0.4027777778,0.4166666667,0.2625,0.2916666667,0.390625,0.328125,0.2875,0.2875,0.2916666667,0.3333333333,0.328125,0.296875,0.4027777778,0.2361111111,0.2375,0.2361111111,0.2777777778,0.28125,0.2222222222,0.2857142857,0.35,0.375,0.2222222222,0.2,0.4444444444,0.5714285714,0.5,0.4,0.5,0.53125,0.375,0.375,0.34375,0.4166666667
22,0.625,0.4791666667,0.725,0.3636363636,0.5277777778,0.25,0.2727272727,0.5277777778,0.1875,0.4375,0.1,0.2857142857,0.25,0.08333333333,0.175,0.2083333333,0.175,0.3181818182,0.3863636364,0.3181818182,0.25,0,0.1875,0.2083333333,0.2083333333,0.1666666667,0.4166666667,0.65625,0.4,0.5,0.2954545455,0.3375,0.125,0.375,0.2375,0.4166666667,0.3977272727,0.4270833333,0.4270833333,0.275,0.5568181818,0.65,0.6136363636,0.275,0.25,0.25,0.5568181818,0.4125,0.6805555556,0.6805555556,0.6590909091,0.7386363636,0.6931818182,0.7045454545,0.5568181818,0.4625,0.7708333333,0.5113636364,0.6375,0.53125,0.6805555556,0.625,0.6477272727,0.6875,0.6625,0.4125,0.3977272727,0.4125,0.2727272727,0.71875,0.2,0.225,0.7,0.2954545455,0.2,0.15625,0.2954545455,0.40625,0.325,0.1785714286,0.375,0.2777777778,0.2222222222,0.25,0.1944444444,0.275
